MaleID,TroopID,Year,Sample_Length,Foraging,Season,Consort,OSR
7,1,2003,1202,582,Long,No,0.25
4,1,2003,1202,0,Long,No,0.25
1,1,2003,1204,598,Long,No,0.25
8,1,2003,1206,1206,Long,No,0.25
11,1,2003,1202,1202,Long,No,0.25
7,1,2003,1201,1201,Long,No,0.25
16,1,2003,1198,1045,Long,No,0.25
4,1,2003,1185,72,Long,No,0.25
9,1,2003,1203,728,Long,No,0.25
4,1,2003,1206,0,Long,No,0.25
8,1,2003,1208,0,Long,No,0.25
3,1,2003,1212,0,Long,No,0.25
11,1,2003,1228,900,Long,No,0.25
3,1,2003,1202,0,Long,No,0.25
4,1,2003,1203,0,Long,No,0.25
1,1,2003,1203,876,Long,No,0.25
7,1,2003,1206,883,Long,No,0.25
16,1,2003,1216,399,Long,No,0.25
9,1,2003,1204,1204,Long,No,0.25
8,1,2003,1202,1202,Long,No,0.25
11,1,2003,1202,1187,Long,No,0.25
4,1,2003,1212,1212,Long,No,0.25
11,1,2003,1201,1201,Long,No,0.25
3,1,2003,1205,182,Long,No,0.25
9,1,2003,1210,1210,Long,No,0.25
7,1,2003,1203,1203,Long,No,0.25
1,1,2003,1204,57,Long,No,0.25
16,1,2003,1206,0,Long,No,0.25
7,1,2003,1201,0,Long,No,0.38
16,1,2003,1202,0,Long,No,0.38
8,1,2003,1199,309,Long,No,0.38
9,1,2003,1202,365,Long,No,0.38
11,1,2003,1202,325,Long,No,0.38
4,1,2003,1202,297,Long,No,0.38
1,1,2003,1201,0,Long,No,0.38
3,1,2003,1207,0,Long,No,0.38
4,1,2003,1212,727,Long,No,0.38
16,1,2003,1203,1203,Long,No,0.38
7,1,2003,1212,938,Long,No,0.38
9,1,2003,1203,51,Long,No,0.38
8,1,2003,1216,769,Long,No,0.38
1,1,2003,1203,739,Long,No,0.38
11,1,2003,1343,512,Long,No,0.38
7,1,2003,1206,0,Long,No,0.38
11,1,2003,1201,0,Long,No,0.38
4,1,2003,1209,251,Long,No,0.38
9,1,2003,1202,1024,Long,No,0.38
3,1,2003,1203,1203,Long,No,0.38
16,1,2003,1205,1205,Long,No,0.38
8,1,2003,1204,1204,Long,No,0.38
1,1,2003,1213,1213,Long,No,0.38
8,1,2003,1005,832,Long,No,0.38
11,1,2003,1205,497,Long,No,0.38
4,1,2003,1182,0,Long,No,0.38
7,1,2003,1203,992,Long,No,0.38
3,1,2003,1421,0,Long,No,0.38
1,1,2003,1209,0,Long,No,0.38
3,1,2003,1202,529,Long,No,0.43
7,1,2003,1205,0,Long,No,0.43
4,1,2003,1192,34,Long,No,0.43
1,1,2003,1202,1172,Long,No,0.43
11,1,2003,1204,1204,Long,No,0.43
1,1,2003,1203,1203,Long,No,0.43
3,1,2003,1203,101,Long,No,0.43
7,1,2003,1202,1202,Long,No,0.43
4,1,2003,1201,933,Long,No,0.43
11,1,2003,1202,73,Long,No,0.43
9,1,2003,1225,0,Long,No,0.43
7,1,2003,1205,1123,Long,No,0.43
4,1,2003,1024,949,Long,No,0.43
11,1,2003,1200,72,Long,No,0.43
3,1,2003,1203,0,Long,No,0.43
9,1,2003,1208,0,Long,No,0.43
1,1,2003,932,0,Long,No,0.43
4,1,2003,1203,26,Long,No,0.43
11,1,2003,1202,665,Long,No,0.43
3,1,2003,1201,1201,Long,No,0.43
8,1,2003,1201,1201,Long,No,0.43
7,1,2003,1163,591,Long,No,0.43
3,1,2003,1205,1205,Long,No,0.43
1,1,2003,1172,1172,Long,No,0.43
11,1,2003,1201,0,Long,No,0.43
7,1,2003,1204,1051,Long,No,0.43
4,1,2003,1260,57,Long,No,0.43
7,1,2003,1204,0,Long,No,0.43
8,1,2003,1375,195,Long,No,0.43
4,1,2003,1202,454,Long,No,0.43
3,1,2003,1213,1213,Long,No,0.43
1,1,2003,1201,1162,Long,No,0.43
7,1,2004,1201,0,Long,No,1
9,1,2004,1204,423,Long,No,1
8,1,2004,1204,913,Long,No,1
11,1,2004,1206,0,Long,No,1
1,1,2004,1203,1178,Long,No,1
11,1,2004,1204,426,Long,No,1
9,1,2004,1204,897,Long,No,1
8,1,2004,1203,838,Long,No,1
9,1,2004,1202,1059,Long,No,1
7,1,2004,1201,1032,Long,No,1
1,1,2004,1155,477,Long,No,1
11,1,2004,420,81,Long,No,1
8,1,2004,1204,755,Long,No,1
9,1,2004,1201,1151,Long,No,1
7,1,2004,1203,879,Long,No,1
11,1,2004,1204,529,Long,No,1
9,1,2004,1201,1201,Long,No,1
7,1,2004,1228,373,Long,No,1
8,1,2004,1203,1203,Long,No,1
11,1,2004,1206,430,Long,No,1
1,1,2004,1216,200,Long,No,1
7,1,2004,1206,1190,Long,No,1
11,1,2004,1205,696,Long,No,1
9,1,2004,1200,112,Long,No,1
8,1,2004,1203,93,Long,No,1
1,1,2004,1067,563,Long,No,1
4,1,2004,1205,1205,Long,No,1.2
11,1,2004,1200,138,Long,No,1.2
4,1,2004,1213,177,Long,No,1.2
1,1,2004,1204,1204,Long,No,1.2
11,1,2004,1203,1108,Long,No,1.2
1,1,2004,958,958,Long,No,1.2
11,1,2004,1199,850,Long,No,1.2
4,1,2004,1165,1165,Long,No,1.2
1,1,2004,1205,0,Long,No,1.2
4,1,2004,1203,124,Long,No,1.2
11,1,2004,1209,1209,Long,No,1.2
8,1,2004,1202,63,Long,No,1.2
9,1,2004,1206,128,Long,No,1.2
8,1,2004,985,142,Long,No,1.2
11,1,2004,1200,0,Long,No,1.2
9,1,2004,1204,1204,Long,No,1.2
4,1,2004,1204,410,Long,No,1.2
9,1,2004,1205,358,Long,No,1.2
4,1,2004,1205,1205,Long,No,0.83
1,1,2004,1202,0,Long,No,0.83
7,1,2004,1203,1203,Long,No,0.83
8,1,2004,1203,1191,Long,No,0.83
1,1,2004,1205,0,Long,No,0.83
7,1,2004,1215,926,Long,No,0.83
8,1,2004,1203,1191,Long,No,0.83
4,1,2004,1202,152,Long,No,0.83
8,1,2004,1187,0,Long,No,0.83
4,1,2004,1201,1201,Long,No,0.83
1,1,2004,1203,222,Long,No,0.83
9,1,2004,1206,65,Long,No,0.83
7,1,2004,1204,0,Long,No,0.83
7,1,2004,1204,1204,Long,No,0.83
1,1,2004,1206,0,Long,No,0.83
9,1,2004,1204,1204,Long,No,0.83
1,1,2004,1201,351,Long,No,0.83
4,1,2004,1202,963,Long,No,0.83
9,1,2004,1202,674,Long,No,0.83
1,1,2004,1203,0,Long,No,0.83
9,1,2004,1130,603,Long,No,0.83
4,1,2004,1214,1214,Long,No,0.83
9,1,2004,1204,1187,Long,No,0.83
1,1,2004,1192,474,Long,No,0.83
11,1,2004,1204,0,Long,No,0.83
1,1,2004,1066,59,Long,No,0.83
4,1,2004,1208,1002,Long,No,0.83
8,1,2004,1203,1203,Long,No,0.83
7,1,2004,1202,1202,Long,No,0.83
7,1,2004,1205,0,Long,No,0.83
1,1,2004,1209,288,Long,No,0.83
9,1,2004,1207,784,Long,No,0.83
8,1,2004,1205,1205,Long,No,0.83
9,1,2004,1207,372,Long,No,0.83
4,1,2004,1202,368,Long,No,0.83
11,1,2004,1200,462,Long,No,0.83
7,1,2004,1204,175,Long,No,0.83
9,1,2004,1200,1200,Long,No,0.83
4,1,2004,1204,506,Long,No,0.83
1,1,2004,1200,1200,Long,No,0.83
8,1,2004,1205,0,Long,No,0.83
11,1,2004,1203,794,Long,No,0.83
1,1,2004,1203,1134,Long,No,0.83
4,1,2004,1207,0,Long,No,0.83
8,1,2004,1202,1041,Long,No,0.83
9,1,2004,1183,988,Long,No,0.83
11,1,2004,1142,1056,Long,No,0.83
9,1,2004,1208,548,Long,No,0.83
1,1,2004,1206,1180,Long,No,0.83
7,1,2004,1204,1204,Long,No,0.83
11,1,2004,1202,1202,Long,No,0.83
8,1,2004,1205,778,Long,No,0.83
9,1,2004,1203,1186,Long,No,0.83
4,1,2004,1204,1192,Long,No,0.83
8,1,2004,1204,96,Long,No,0.83
4,1,2004,1200,1049,Long,No,0.83
1,1,2004,906,707,Long,No,0.83
7,1,2004,1203,474,Long,No,0.83
11,1,2004,1205,594,Long,No,0.83
9,1,2004,1203,0,Long,No,0.83
8,1,2004,1203,0,Long,No,0.83
9,1,2004,1181,0,Long,No,0.83
8,1,2004,1206,1206,Long,No,0.83
11,1,2004,1206,213,Long,No,0.83
4,1,2004,1203,399,Long,No,0.83
1,1,2004,1206,233,Long,No,0.83
1,1,2004,1075,538,Long,No,0.83
9,1,2004,963,193,Long,No,0.83
4,1,2004,1204,239,Long,No,0.83
8,1,2004,1214,1029,Long,No,0.83
11,1,2004,1200,1181,Long,No,0.83
9,1,2004,1202,872,Long,No,0.83
4,1,2004,1203,1029,Long,No,0.83
8,1,2004,1210,0,Long,No,0.83
11,1,2004,1202,1050,Long,No,0.83
1,1,2004,1058,716,Long,No,0.83
8,1,2004,1060,149,Long,No,0.83
9,1,2004,1203,1175,Long,No,0.83
4,1,2004,1204,1122,Long,No,0.83
1,1,2004,1204,703,Long,No,0.83
11,1,2004,1206,723,Long,No,0.83
8,1,2004,1224,0,Long,No,0.83
9,1,2004,1121,72,Long,No,0.83
11,1,2004,1200,0,Long,No,0.83
